id, make, type, alcoholpercentage, brewery
1,3 Schténg,hoge gisting,6,Brasserie Grain d'Orge
2,400,blond,5.6,Hofbrouwerijke voor Brouwerij Montaigu
3,IV Saison,saison,6.5,Brasserie de Jandrain-Jandrenouille
4,V Cense,hoge gisting;special belge,7.5,Brasserie de Jandrain-Jandrenouille
5,VI Wheat,hoge gisting;tarwebier,6,Brasserie de Jandrain-Jandrenouille
6,Aardmonnik,oud bruin,8,De Struise Brouwers
7,Aarschotse Bruine,bruin,6,Stadsbrouwerij Aarschot
8,Abbay d'Aulne Blonde des Pères 6,abdijbier;blond,6,Brasserie Val de Sambre
9,Abbay d'Aulne Brune des Pères 6,abdijbier;bruin,6,Brasserie Val de Sambre
10,V Cense,hoge gisting;special belge,8,Brasserie de Jandrain-Jandrenouille